tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime,emissions_CO2_abs,emissions_CO_abs,emissions_HC_abs,emissions_NOx_abs,emissions_PMx_abs,emissions_electricity_abs,emissions_fuel_abs
1493.00,30480344#7_0,0.20,5.35,944.00,4.00,24681565#2_0,0.20,0.00,tripinfo_940 emissions_940 fcd_940,549.00,940,0,1489.71,0.99,0.00,442.54,t_2,,6,398.00,1506505.536423,73337.970423,368.649828,664.786480,34.119330,0,480529.282863
1493.00,431977728_0,0.20,5.85,1468.00,0.00,431938259#0_0,0.20,0.00,tripinfo_1468 emissions_1468 fcd_1468,25.00,1468,0,145.76,1.00,0.00,12.80,t_0,,0,0.00,328624.022026,601.944501,125.589537,2686.701216,63.159802,0,103979.253462
1496.00,422264046#17_1,0.20,8.23,695.00,2.00,431769275#4_0,0.20,0.00,tripinfo_693 emissions_693 fcd_693,801.00,693,0,1611.33,1.00,0.00,698.78,t_2,,7,652.00,2216553.801884,116701.411644,583.446751,992.928045,52.679110,0,707015.955192
1496.00,415999042#2_0,0.20,13.58,1253.00,0.00,290167856#1_0,0.86,0.00,tripinfo_1253 emissions_1253 fcd_1253,243.00,1253,0,1687.13,1.00,0.00,151.54,t_0,,5,60.00,3897901.851745,6763.507896,1372.484569,31257.920456,712.619761,0,1233367.156175
1496.00,199287418#1_0,71.42,12.13,1351.00,0.00,424687733_0,2.30,0.00,tripinfo_1351 emissions_1351 fcd_1351,145.00,1351,0,1091.97,1.03,0.00,76.77,t_1,,3,39.00,514958.831191,23322.991397,99.584299,111.540208,32.330674,0,164269.166254
1499.00,427888490#0_0,0.20,6.48,1148.00,0.00,431727631#2_0,0.20,0.00,tripinfo_1148 emissions_1148 fcd_1148,351.00,1148,0,2000.19,1.00,0.00,230.01,t_0,,2,178.00,3796323.672584,7972.648028,1770.218689,32685.564840,828.692336,0,1201080.342047
1499.00,531952884#1_1,0.20,13.36,1383.00,0.00,-310525151#2_0,5.10,0.00,tripinfo_1383 emissions_1383 fcd_1383,116.00,1383,0,842.97,0.97,0.00,49.04,t_2,,1,25.00,384452.286256,9816.131332,53.692685,162.124297,7.515890,0,122624.247060
1502.00,431769275#3_0,44.47,11.00,1264.00,0.00,24360702#1_0,2.30,0.00,tripinfo_1264 emissions_1264 fcd_1264,238.00,1264,0,1473.56,0.93,0.00,120.90,t_1,,4,86.00,623523.527765,32163.731517,132.264774,139.507977,40.921676,0,198901.373555
1505.00,95606290#1_0,60.48,13.58,1444.00,0.00,427129777#6_0,0.20,0.00,tripinfo_1444 emissions_1444 fcd_1444,61.00,1444,0,623.33,0.98,0.00,13.05,t_2,,0,0.00,210214.358007,3248.541514,19.566738,85.242943,3.634672,0,67048.815520
1508.00,531908583#1_1,0.20,13.82,1441.00,0.00,150316490#0_0,12.10,0.00,tripinfo_1441 emissions_1441 fcd_1441,67.00,1441,0,819.92,1.00,0.00,15.86,t_0,,0,0.00,1085535.807794,1672.203965,351.186976,8319.426473,180.172874,0,343533.053487
1509.00,24611811#4_0,76.95,12.66,1219.00,0.00,427125129#1_0,2.30,0.00,tripinfo_1219 emissions_1219 fcd_1219,290.00,1219,0,825.54,1.00,0.00,243.76,t_1,,1,231.00,629690.844119,53153.787439,202.781682,143.206310,57.968938,0,200872.438476
1512.00,36921441#5_0,0.20,14.70,1139.00,0.00,292770210#2_0,2.30,0.00,tripinfo_1139 emissions_1139 fcd_1139,373.00,1139,0,3934.49,1.10,0.00,114.99,t_1,,2,48.00,1517580.724036,56032.760113,251.817792,324.330842,85.939092,0,484096.847237
1515.00,420397517#1_1,0.18,7.83,1260.00,0.00,291083093#1_0,0.20,0.00,tripinfo_1260 emissions_1260 fcd_1260,255.00,1260,0,1103.93,1.10,0.00,186.24,t_2,,5,116.00,807509.921208,29856.621126,154.916051,353.644617,17.672768,0,257565.644184
1517.00,24612002#5_0,106.72,13.18,1404.00,0.00,431775786#1_0,5.10,0.00,tripinfo_1404 emissions_1404 fcd_1404,113.00,1404,0,1336.28,1.03,0.00,23.89,t_2,,0,0.00,423596.941729,5803.678250,36.218001,171.988990,7.580107,0,135107.502538
1519.00,531935293#1_0,0.20,9.25,1119.00,0.00,-292770210#2_0,2.30,0.00,tripinfo_1119 emissions_1119 fcd_1119,400.00,1119,0,1570.49,0.86,0.00,276.06,t_1,,7,225.00,972601.854518,66722.823320,262.170977,218.692626,77.543895,0,310259.603582
1519.00,422264046#11_1,0.20,4.87,1204.00,0.00,1080638716#0_0,0.20,0.00,tripinfo_1204 emissions_1204 fcd_1204,315.00,1204,0,1743.62,0.90,0.00,192.63,t_1,,3,153.00,815858.708192,48860.347922,196.457749,181.597150,59.581746,0,260256.607912
1519.00,427643916#1_0,89.77,13.83,1224.00,0.00,-371240344#0_0,12.10,0.00,tripinfo_1224 emissions_1224 fcd_1224,295.00,1224,0,2066.79,1.00,0.00,150.77,t_0,,3,90.00,3806389.217685,7088.189739,1509.464192,31284.315376,744.029104,0,1204374.124017
1520.00,1168151155#2_0,16.93,14.20,1362.00,0.00,531935294#1_0,2.30,0.00,tripinfo_1362 emissions_1362 fcd_1362,158.00,1362,0,1579.45,1.09,0.00,71.35,t_1,,2,39.00,843480.146040,35925.329061,157.940190,175.836921,53.432986,0,269065.735582
1525.00,539419561#1_0,38.18,10.49,1475.00,0.00,1062495800#0_0,0.20,0.00,tripinfo_1475 emissions_1475 fcd_1475,50.00,1475,0,345.15,1.00,0.00,9.39,t_0,,0,0.00,578568.164034,1063.289165,228.334872,4728.244680,111.933536,0,183067.999588
1528.00,-24700925#1_0,39.32,13.21,1332.00,0.00,431938259#0_0,0.20,0.00,tripinfo_1332 emissions_1332 fcd_1332,196.00,1332,0,2296.74,1.06,0.00,40.33,t_2,,1,2.00,646749.783978,8891.599103,54.804690,256.661327,10.863770,0,206283.574003
1528.00,24360382#0_0,25.54,7.94,1373.00,0.00,427087977#1_0,0.20,0.00,tripinfo_1373 emissions_1373 fcd_1373,155.00,1373,0,1028.44,1.00,0.00,92.40,t_0,,4,36.00,2256949.631519,3995.765498,815.515494,18232.713782,420.090841,0,714128.416276
1530.00,425205867#2_0,158.86,13.73,1331.00,0.00,422264046#16_0,12.10,0.00,tripinfo_1331 emissions_1331 fcd_1331,199.00,1331,0,1009.17,1.00,0.00,130.95,t_0,,1,96.00,2319475.679913,4733.752490,1019.184034,19771.943767,491.715719,0,733834.612144
1531.00,415999041#4_1,14.27,8.15,1415.00,0.00,24650041#23_0,0.20,0.00,tripinfo_1415 emissions_1415 fcd_1415,116.00,1415,0,752.67,1.00,0.00,60.54,t_0,,2,21.00,1724209.765301,3080.206965,634.310784,13970.398631,323.785501,0,545561.722495
1532.00,89383700#6_0,0.20,10.87,842.00,1.00,24360723#1_0,5.10,0.00,tripinfo_841 emissions_841 fcd_841,690.00,841,0,1689.20,0.97,0.00,592.18,t_2,,6,515.00,2046981.454842,98613.347752,497.106491,911.617353,47.784024,0,652922.477061
1534.00,531937183#1_0,0.20,3.42,350.00,0.00,416005329#5_0,0.20,0.00,tripinfo_350 emissions_350 fcd_350,1184.00,350,0,962.96,1.00,0.00,1124.17,t_0,,13,1021.00,7400233.541140,24339.612796,5738.602735,78531.572529,2440.563645,0,2339995.160106
1535.00,415999038#6_1,0.20,13.55,1369.00,0.00,24611815#6_0,0.20,0.00,tripinfo_1369 emissions_1369 fcd_1369,166.00,1369,0,977.17,1.01,0.00,108.30,t_2,,3,71.00,605436.796047,19351.487724,102.404709,262.954344,13.184922,0,193110.108325
1537.00,89383700#6_0,0.20,9.59,920.00,0.00,24361011#0_0,0.68,0.00,tripinfo_920 emissions_920 fcd_920,617.00,920,0,1429.71,1.04,0.00,527.24,t_2,,6,450.00,1790065.640186,87030.704474,438.298818,799.663003,41.856603,0,570974.720843
1538.00,420397520#1_0,61.02,10.36,186.00,0.00,425389841#4_0,0.20,0.00,tripinfo_186 emissions_186 fcd_186,1352.00,186,0,2071.39,0.93,0.00,1220.23,t_1,,16,1055.00,2231916.839023,231663.678835,858.291168,529.160370,234.983380,0,711995.029457
1542.00,-24617784#3_0,38.73,13.64,1516.00,0.00,195121461_0,0.20,0.00,tripinfo_1516 emissions_1516 fcd_1516,26.00,1516,0,198.80,1.00,0.00,10.45,t_0,,0,0.00,531013.398266,845.362567,164.228433,4133.928529,89.758281,0,168031.125440
1543.00,-711394777#1_0,0.20,2.31,617.00,0.00,415999040#1_0,0.20,0.00,tripinfo_617 emissions_617 fcd_617,926.00,617,0,1609.97,1.00,0.00,833.29,t_0,,8,716.00,7164818.412950,19955.325328,4561.864519,70022.669525,2020.785537,0,2266041.245375
1543.00,531908584#1_0,0.20,12.83,1092.00,0.00,24650053#1_0,0.20,0.00,tripinfo_1092 emissions_1092 fcd_1092,451.00,1092,0,1143.34,0.95,0.00,373.67,t_2,,9,310.00,1246996.064426,61491.099667,308.809643,552.106400,28.593374,0,397753.837825
1543.00,420385363#0_0,0.20,5.77,1475.00,1.00,538952543#1_0,10.82,0.00,tripinfo_1474 emissions_1474 fcd_1474,68.00,1474,0,560.78,1.00,0.00,23.85,t_0,,0,0.00,1203417.924608,1904.165191,371.572082,9345.963710,202.478802,0,380806.929055
1543.00,431938250_0,0.20,2.97,1523.00,0.00,-284377776#0_0,2.30,0.00,tripinfo_1523 emissions_1523 fcd_1523,20.00,1523,0,169.25,0.97,0.00,6.45,t_1,,0,0.00,100332.381406,3794.104322,17.098286,21.059526,5.927245,0,32005.529993
1549.00,-24611999#1_0,0.20,13.32,1187.00,0.00,264448746#0_0,5.39,0.00,tripinfo_1187 emissions_1187 fcd_1187,362.00,1187,0,2378.02,1.00,0.00,218.76,t_0,,3,140.00,4573988.371226,8740.435488,1874.719031,37964.793138,915.156952,0,1447218.684137
1556.00,24419167#4_1,7.39,7.33,1365.00,0.00,291083097#2_0,0.20,0.00,tripinfo_1365 emissions_1365 fcd_1365,191.00,1365,0,1514.64,1.03,0.00,87.14,t_2,,3,40.00,610464.977439,15258.080669,83.445089,254.360680,11.685005,0,194713.000468
1564.00,432370643#3_0,147.89,13.46,1376.00,0.00,431776018#8_0,5.10,0.00,tripinfo_1376 emissions_1376 fcd_1376,188.00,1376,0,1616.00,0.98,0.00,67.42,t_2,,1,38.00,539933.887686,12373.756959,68.326486,219.259629,9.531452,0,172216.732155
1565.00,431996947#1_1,35.91,18.59,1537.00,0.00,31921410#0_0,0.20,0.00,tripinfo_1537 emissions_1537 fcd_1537,28.00,1537,0,210.47,0.92,0.00,10.98,t_1,,0,0.00,163719.493293,6635.762582,29.545819,34.124564,10.144783,0,52225.885740
1567.00,431938255_0,99.06,13.93,1451.00,0.00,431776018#7_0,3.07,0.00,tripinfo_1451 emissions_1451 fcd_1451,116.00,1451,0,1429.72,1.04,0.00,15.60,t_2,,0,0.00,334181.230796,3899.197641,25.129542,129.964100,5.272650,0,106588.503691
1572.00,431938259#3_0,36.86,10.29,1449.00,0.00,150316490#1_0,12.10,0.00,tripinfo_1449 emissions_1449 fcd_1449,123.00,1449,0,1318.63,1.00,0.00,37.47,t_0,,1,7.00,1798033.579653,2892.748261,605.112721,13997.660168,309.414387,0,568988.242842
1573.00,36921439#3_0,0.20,13.83,1315.00,0.00,431977726_0,2.30,0.00,tripinfo_1315 emissions_1315 fcd_1315,258.00,1315,0,2650.92,1.06,0.00,89.54,t_1,,2,44.00,1027097.160968,39516.899359,175.862568,219.954990,59.318521,0,327636.425992
1582.00,31921745#0_0,0.20,11.62,1533.00,0.00,24612009#0_0,0.20,0.00,tripinfo_1533 emissions_1533 fcd_1533,49.00,1533,0,504.98,0.99,0.00,9.53,t_1,,0,0.00,200074.690648,6542.348508,30.126950,43.192638,10.466655,0,63822.292258
1585.00,428274873#1_1,74.77,12.92,1417.00,0.00,24360386#1_0,12.10,0.00,tripinfo_1417 emissions_1417 fcd_1417,168.00,1417,0,1055.10,1.00,0.00,39.59,t_0,,0,0.00,2087804.727024,3587.325535,730.987245,16676.634515,378.703404,0,660628.593259
1588.00,415999041#13_0,148.50,21.90,716.00,0.00,425209118#1_0,5.10,0.00,tripinfo_716 emissions_716 fcd_716,872.00,716,0,2321.16,1.04,0.00,736.92,t_2,,11,648.00,2568180.950290,123113.678619,620.525316,1141.052185,59.645261,0,819168.594574
1589.00,24360380#3_0,0.20,13.30,212.00,0.00,301810317#0_0,12.10,0.00,tripinfo_212 emissions_212 fcd_212,1377.00,212,0,1371.89,1.00,0.00,1284.30,t_0,,23,1081.00,8975901.527228,28414.188930,6662.418731,93399.313443,2855.667951,0,2838384.738777
1589.00,534510784#2_0,1.17,13.46,1455.00,0.00,422264046#20_0,0.20,0.00,tripinfo_1455 emissions_1455 fcd_1455,134.00,1455,0,1273.92,1.00,0.00,46.56,t_0,,0,0.00,2666914.339418,4021.273092,768.277586,20381.707022,429.865262,0,843938.863015
1592.00,1032741425#3_0,0.20,13.74,1472.00,0.00,-427692678#1_0,12.10,0.00,tripinfo_1472 emissions_1472 fcd_1472,120.00,1472,0,990.33,1.00,0.00,49.10,t_0,,1,8.00,2108386.390212,3379.591341,663.063627,16446.423813,358.870837,0,667167.385413
1592.00,24361011#1_0,84.67,13.37,1553.00,0.00,24611997#8_0,0.20,0.00,tripinfo_1553 emissions_1553 fcd_1553,39.00,1553,0,359.04,1.00,0.00,14.28,t_0,,0,0.00,792763.276483,1229.688996,239.486900,6113.745774,131.141317,0,250864.781227
1593.00,538952545_0,0.20,4.05,1300.00,0.00,24650050#9_0,0.20,0.00,tripinfo_1300 emissions_1300 fcd_1300,293.00,1300,0,1960.87,1.00,0.00,169.88,t_0,,3,76.00,4304241.024841,7658.613451,1574.564045,34824.566039,805.347097,0,1361919.935397
1594.00,24361001#2_0,0.20,13.90,1344.00,0.00,428066862#1_0,2.30,0.00,tripinfo_1344 emissions_1344 fcd_1344,250.00,1344,0,1640.70,1.14,0.00,165.41,t_1,,4,113.00,1080305.109710,57253.128446,239.749345,227.186835,77.311080,0,344614.137435
1595.00,107938451#1_0,16.17,11.58,1121.00,0.00,36921441#11_0,5.10,0.00,tripinfo_1121 emissions_1121 fcd_1121,474.00,1121,0,891.31,0.94,0.00,411.85,t_2,,10,328.00,1292270.411812,66659.252333,333.729923,577.753791,30.209131,0,412196.063637
1595.00,24681177_0,43.96,13.64,1278.00,0.00,-896424071_0,12.10,0.00,tripinfo_1278 emissions_1278 fcd_1278,317.00,1278,0,3646.20,1.00,0.00,55.38,t_0,,1,2.00,4652811.622188,7253.662928,1519.786735,35813.741381,779.838833,0,1472428.745187
1596.00,160695432#1_0,73.88,25.40,1485.00,0.00,539191494#2_0,0.20,0.00,tripinfo_1485 emissions_1485 fcd_1485,111.00,1485,0,791.01,0.99,0.00,26.13,t_1,,0,0.00,399033.555905,16521.642428,71.833900,86.156284,23.797184,0,127289.419244
1597.00,24717707#0_0,47.11,13.33,1540.00,4.00,431727631#1_0,5.10,0.00,tripinfo_1536 emissions_1536 fcd_1536,57.00,1536,0,802.58,0.99,0.00,14.49,t_2,,0,0.00,314857.092323,4620.115969,28.566494,131.065548,6.350839,0,100424.115016
1598.00,24672269_0,281.43,14.04,1328.00,0.00,31921410#2_0,0.20,0.00,tripinfo_1328 emissions_1328 fcd_1328,270.00,1328,0,2684.24,1.01,0.00,85.74,t_2,,4,35.00,878007.710064,17419.653872,98.758403,355.560746,15.795002,0,280046.462755
1598.00,-431827294#2_0,29.80,10.93,1463.00,0.00,1218176806#1_0,0.20,0.00,tripinfo_1463 emissions_1463 fcd_1463,135.00,1463,0,1415.87,1.05,0.00,41.34,t_2,,1,9.00,509270.896260,8976.260898,52.736174,209.958630,9.550480,0,162434.219862
1600.00,24681173#0_0,0.20,5.71,1424.00,0.00,431729147#1_0,0.20,0.00,tripinfo_1424 emissions_1424 fcd_1424,176.00,1424,0,2089.79,0.98,0.00,36.44,t_2,,0,0.00,595802.379772,8174.924159,50.992781,240.249499,10.443858,0,190033.227142
1610.00,30480344#10_0,1.48,6.14,827.00,0.00,308669838#0_0,0.20,0.00,tripinfo_827 emissions_827 fcd_827,783.00,827,0,521.65,1.00,0.00,750.17,t_0,,17,605.00,4748837.083706,15777.392286,3721.533884,50664.153006,1580.852590,0,1501583.885785
1611.00,24612002#4_0,40.99,13.49,1366.00,0.00,431938250_0,0.20,0.00,tripinfo_1366 emissions_1366 fcd_1366,245.00,1366,0,1005.20,1.00,0.00,175.89,t_0,,3,121.00,2576514.758935,5669.387882,1244.019690,22649.054934,585.079878,0,815100.186185
1614.00,431938259#1_0,35.24,12.33,1502.00,0.00,-24717712_0,12.10,0.00,tripinfo_1502 emissions_1502 fcd_1502,112.00,1502,0,1000.67,1.00,0.00,26.42,t_0,,0,0.00,1777030.801424,2840.524763,569.927234,13832.047978,302.571436,0,562326.318739
1620.00,24650050#4_0,0.20,10.46,1505.00,0.00,1032741425#3_0,0.20,0.00,tripinfo_1505 emissions_1505 fcd_1505,115.00,1505,0,1014.83,0.97,0.00,21.87,t_2,,1,5.00,322141.559062,6383.830558,36.496176,130.569320,5.524782,0,102749.433742
