tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime,emissions_CO2_abs,emissions_CO_abs,emissions_HC_abs,emissions_NOx_abs,emissions_PMx_abs,emissions_electricity_abs,emissions_fuel_abs
85.00,E6_0,92.80,13.88,45.00,4.00,E1_0,12.10,0.00,tripinfo_41 emissions_41,40.00,41,0,182.53,1.00,0.00,24.93,bus,,1,9.00,544322.826374,1059.030021,224.199944,4554.488616,110.433379,0,172219.029828
89.00,E3_0,100.00,12.65,31.00,0.00,E0_0,5.10,0.00,tripinfo_31 emissions_31,58.00,31,0,395.10,0.97,0.00,27.93,taxi,,1,10.00,173340.451586,4600.024729,24.822747,71.677773,3.164828,0,55288.717958
90.00,-E2_0,92.80,12.02,77.00,0.00,-E2_0,12.10,0.00,tripinfo_77 emissions_77,13.00,77,0,80.70,1.00,0.00,7.04,bus,,0,0.00,256656.643255,438.846216,87.245510,2049.014936,46.220732,0,81210.663310
96.00,-E4_0,100.00,13.85,40.00,0.00,E0_0,12.10,0.00,tripinfo_40 emissions_40,56.00,40,0,387.90,1.00,0.00,27.36,bus,,1,7.00,847759.697995,1519.303927,321.267357,6867.005445,160.174715,0,268247.535089
96.00,E5_0,92.80,5.33,64.00,0.00,E5_0,12.10,0.00,tripinfo_64 emissions_64,32.00,64,0,80.70,1.00,0.00,26.06,bus,,1,12.00,326729.240417,763.229001,167.148551,2949.362078,78.211678,0,103355.141365
101.00,E7_0,100.00,13.71,39.00,4.00,-E3_0,12.10,0.00,tripinfo_35 emissions_35,62.00,35,0,387.90,1.00,0.00,32.69,bus,,1,15.00,841626.916291,1575.757089,333.149110,6935.042631,165.127135,0,266294.505679
102.00,E2_0,92.80,13.86,78.00,0.00,-E6_0,12.10,0.00,tripinfo_78 emissions_78,24.00,78,0,182.53,1.00,0.00,9.60,bus,,0,0.00,489638.745053,787.582578,154.696107,3824.007730,83.597797,0,154938.469535
104.00,-E6_0,92.80,14.29,89.00,0.00,-E7_0,2.30,0.00,tripinfo_89 emissions_89,15.00,89,0,190.60,1.16,0.00,2.30,motorcycle,,0,0.00,72066.867549,2506.630626,11.545973,15.083453,4.074237,0,22988.839827
105.00,E6_0,92.80,13.68,57.00,0.00,E5_0,12.10,0.00,tripinfo_57 emissions_57,48.00,57,0,187.90,1.00,0.00,33.55,bus,,1,17.00,627871.184759,1278.549986,272.522273,5350.620294,132.668687,0,198643.947568
109.00,E6_0,92.80,10.52,99.00,0.00,E6_0,2.30,0.00,tripinfo_99 emissions_99,10.00,99,0,90.50,0.83,0.00,1.81,motorcycle,,0,0.00,38675.099655,1279.673941,5.808530,8.553699,1.957845,0,12337.061619
110.00,-E5_0,92.80,13.15,92.00,0.00,-E6_0,2.30,0.00,tripinfo_92 emissions_92,18.00,92,0,197.70,1.01,0.00,3.04,motorcycle,,0,0.00,77577.672446,2563.506545,11.893876,16.569251,4.160641,0,24746.707079
112.00,E3_0,100.00,12.46,95.00,5.00,E2_0,2.30,0.00,tripinfo_90 emissions_90,17.00,90,0,190.60,1.02,0.00,3.44,motorcycle,,0,0.00,69971.095364,2177.399806,10.165215,15.213419,3.530650,0,22320.177511
115.00,-E1_0,92.80,13.65,69.00,0.00,E4_0,12.10,0.00,tripinfo_69 emissions_69,46.00,69,0,282.63,1.00,0.00,24.65,bus,,1,2.00,729666.495022,1283.763455,260.618213,5882.190015,134.998139,0,230876.476896
120.00,E7_0,100.00,11.87,101.00,1.00,E6_0,2.30,0.00,tripinfo_100 emissions_100,19.00,100,0,190.60,0.87,0.00,3.09,motorcycle,,0,0.00,63231.622495,2182.334918,10.002821,13.502851,3.472969,0,20170.489268
121.00,-E6_0,92.80,12.89,106.00,0.00,-E7_0,2.30,0.00,tripinfo_106 emissions_106,15.00,106,0,190.60,1.13,0.00,2.26,motorcycle,,0,0.00,87128.075718,2902.921363,13.563681,18.302897,4.807795,0,27793.220744
123.00,E7_0,100.00,12.85,70.00,4.00,E5_0,12.10,0.00,tripinfo_66 emissions_66,53.00,66,0,288.00,1.00,0.00,31.38,bus,,1,10.00,665713.672765,1275.548610,268.975201,5537.230150,133.210476,0,210628.836178
123.00,-E1_0,92.80,11.90,101.00,0.00,E5_0,2.30,0.00,tripinfo_101 emissions_101,22.00,101,0,192.33,0.92,0.00,5.34,motorcycle,,0,0.00,87539.528483,3173.600279,14.355255,18.700376,4.931754,0,27924.605716
125.00,E7_0,100.00,10.97,107.00,0.00,E6_0,2.30,0.00,tripinfo_107 emissions_107,18.00,107,0,190.60,0.93,0.00,3.02,motorcycle,,0,0.00,73204.314710,2491.890824,11.486097,15.586676,4.009416,0,23351.692266
126.00,-E0_0,100.00,13.88,86.00,4.00,E5_0,12.10,0.00,tripinfo_82 emissions_82,40.00,82,0,282.63,1.00,0.00,18.13,bus,,0,0.00,579800.071714,1051.821174,224.349273,4716.304497,110.826041,0,183459.100680
